Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,State,Gender
FZ20933,Oregon,M,High School or Below,488094.64%,24398,63,1/1/00,302.4,Personal Auto,Four-Door Car,,
WR62597,Oregon,M,College,231138.21%,24641,61,1/0/00,294.92773,Corporate Auto,Four-Door Car,,
KU61611,Arizona,M,High School or Below,432709.89%,69040,108,1/0/00,518.4,Corporate Auto,Sports Car,,
XW98867,Oregon,M,High School or Below,1229868.63%,17101,113,1/0/00,542.4,Personal Auto,SUV,,
PP80817,California,F,High School or Below,832353.33%,59886,104,1/0/00,71.729298,Personal Auto,Sports Car,,
DT77901,Oregon,F,Bachelor,1017971.70%,14290,271,1/0/00,1300.8,Personal Auto,Luxury SUV,,
DX34647,California,F,College,776126.78%,43137,96,1/0/00,460.8,Personal Auto,Two-Door Car,,
OD56551,Oregon,M,College,523989.09%,27978,69,1/1/00,447.911255,Personal Auto,Four-Door Car,,
OO63074,California,F,Bachelor,451790.88%,25261,118,1/0/00,566.4,Personal Auto,SUV,,
EH24828,Nevada,M,College,238977.41%,58652,64,1/5/00,307.2,Personal Auto,Four-Door Car,,
CX99919,Nevada,F,College,413062.88%,28321,111,1/0/00,537.391704,Corporate Auto,SUV,,
DG80424,Washington,F,College,269156.90%,77411,67,1/0/00,257.900458,Personal Auto,Four-Door Car,,
NU32697,Oregon,M,College,522776.64%,0,72,1/0/00,518.4,Corporate Auto,Four-Door Car,,
PU98976,California,F,Bachelor,618734.57%,0,88,1/0/00,633.6,Personal Auto,Four-Door Car,,
ZR20842,Arizona,M,College,511387.47%,94415,127,1/1/00,492.770321,Personal Auto,Sports Car,,
NF35573,Oregon,M,High School or Below,1103931.62%,0,103,1/0/00,1149.203884,Special Auto,SUV,,
DF66914,Arizona,F,Bachelor,3222708.39%,45331,100,1/0/00,572.635987,Personal Auto,SUV,,
YM99866,Arizona,M,High School or Below,261196.59%,53904,67,1/2/00,321.6,Personal Auto,Four-Door Car,,
VH62084,California,M,High School or Below,1337232.77%,0,74,1/0/00,811.086484,Personal Auto,Four-Door Car,,
SE28250,Arizona,M,Bachelor,483898.19%,0,70,1/2/00,336.0,Special Auto,Four-Door Car,,
MD86050,Oregon,M,High School or Below,472165.90%,0,67,1/0/00,482.4,Personal Auto,Four-Door Car,,
GF17866,Oregon,M,College,387364.70%,28142,105,1/0/00,701.708239,Corporate Auto,Sports Car,,
UB16654,Washington,M,Master,471855.85%,15680,6464,1/0/00,260.879903,Personal Auto,Four-Door Car,,
KO44736,Oregon,M,Bachelor,1697979.76%,35095,73,1/0/00,525.6,Personal Auto,Two-Door Car,,
KI55845,Oregon,F,College,1368171.18%,55588,114,1/0/00,547.2,Personal Auto,SUV,,
JJ24476,Arizona,F,Master,571722.19%,52391,71,1/0/00,409.763267,Personal Auto,Two-Door Car,,
VC68509,Oregon,F,Bachelor,948659.64%,42240,79,1/0/00,46.386546,Personal Auto,Four-Door Car,,
QN62502,Oregon,F,Bachelor,383914.37%,70146,96,1/0/00,157.440069,Personal Auto,Four-Door Car,,
EL92515,Oregon,F,College,1121159.03%,41121,94,1/0/00,451.2,Personal Auto,Four-Door Car,,
VL84149,Oregon,F,College,2580706.30%,71210,214,1/1/00,1027.2,Corporate Auto,Luxury Car,,
JX19907,Oregon,M,Bachelor,379832.17%,0,107,1/1/00,1261.943541,Corporate Auto,Two-Door Car,,
BC66921,Nevada,F,High School or Below,281656.74%,41228,71,1/0/00,340.8,Personal Auto,Four-Door Car,,
RK24470,Washington,M,Bachelors,502929.70%,40113,67,1/3/00,262.047663,Corporate Auto,Two-Door Car,,
GN80437,Oregon,F,College,344496.75%,0,91,1/0/00,596.050118,Special Auto,Four-Door Car,,
AH65907,California,F,Bachelor,285940.86%,51790,71,1/0/00,340.8,Personal Auto,Four-Door Car,,
VG57728,California,M,High School or Below,269205.76%,92593,68,1/0/00,8.44322,Corporate Auto,Four-Door Car,,
AF81450,California,M,High School or Below,1143173.09%,28657,100,1/0/00,588.742251,Personal Auto,SUV,,
YI28422,Oregon,M,High School or Below,763588.33%,30262,98,1/1/00,499.22561,Personal Auto,Four-Door Car,,
GR26937,Oregon,F,Master,980582.96%,47197,81,1/0/00,76.112618,Corporate Auto,Four-Door Car,,
BR99015,California,F,Bachelor,680361.56%,0,94,1/0/00,451.2,Personal Auto,Four-Door Car,,
PB11270,Oregon,F,Bachelor,710765.54%,0,61,1/0/00,541.561209,Personal Auto,Four-Door Car,,
PZ89632,Oregon,F,High School or Below,473518.45%,0,134,1/0/00,964.8,Personal Auto,SUV,,
LV62981,Arizona,M,College,687432.67%,22093,87,1/0/00,616.749885,Corporate Auto,Two-Door Car,,
AS97690,Arizona,M,College,241125.66%,54483,61,1/0/00,292.8,Personal Auto,Two-Door Car,,
SG32258,Arizona,F,College,241654.24%,18944,63,1/0/00,125.274351,Personal Auto,Four-Door Car,,
MY80583,Oregon,F,Bachelor,2398154.34%,84365,66,1/0/00,316.8,Personal Auto,Four-Door Car,,
WS57286,Arizona,M,College,469216.52%,0,64,1/0/00,137.169296,Personal Auto,Four-Door Car,,
MF53477,California,F,High School or Below,360093.43%,25147,101,1/0/00,694.598288,Corporate Auto,SUV,,
DQ28641,Nevada,M,High School or Below,266522.25%,14315,71,1/0/00,511.2,Personal Auto,Four-Door Car,,
EX46492,Arizona,F,Master,766652.04%,87864,94,1/0/00,421.456547,Personal Auto,Two-Door Car,,
VW20823,California,M,High School or Below,1667589.62%,57844,85,1/1/00,408.0,Personal Auto,Four-Door Car,,
LH26563,Oregon,F,High School or Below,455085.60%,17913,116,1/0/00,556.8,Personal Auto,Four-Door Car,,
FR56877,Arizona,F,High School or Below,1176393.57%,28806,99,1/0/00,475.2,Special Auto,Four-Door Car,,
ZY99878,California,M,High School or Below,1374253.72%,90343,175,1/0/00,833.072722,Personal Auto,SUV,,
CS15289,Oregon,F,Master,1613841.63%,79041,199,1/0/00,419.26062,Personal Auto,Luxury SUV,,
MM49431,Washington,M,Bachelor,729858.36%,74069,63,1/2/00,275.516438,Personal Auto,Two-Door Car,,
IA96447,California,M,College,667373.77%,85019,167,1/0/00,801.6,Personal Auto,Sports Car,,
PT32230,California,F,High School or Below,778212.68%,70059,194,1/0/00,253.740993,Personal Auto,Luxury SUV,,
NK73719,California,F,College,1939321.15%,70503,164,1/1/00,41.05291,Corporate Auto,SUV,,
OH15771,California,M,Bachelor,397413.82%,0,117,1/0/00,561.6,Personal Auto,SUV,,
XP61034,Oregon,M,Bachelor,410558.10%,39492,105,1/0/00,756.0,Personal Auto,SUV,,
ZN34245,Arizona,M,College,230847.21%,0,68,1/0/00,489.6,Corporate Auto,Four-Door Car,,
FX55923,Arizona,M,Bachelor,537291.45%,50405,70,1/1/00,7.069583,Personal Auto,Four-Door Car,,
ZZ83340,Oregon,F,Doctor,550831.55%,96021,68,1/0/00,315.004602,Personal Auto,Two-Door Car,,
HA99340,Oregon,M,High School or Below,239833.32%,0,65,1/0/00,422.947888,Personal Auto,Two-Door Car,,
LE43061,California,M,High School or Below,372883.01%,0,105,1/0/00,756.0,Personal Auto,Four-Door Car,,
UF77413,Oregon,M,College,275849.86%,65794,69,1/1/00,277.27294,Personal Auto,Four-Door Car,,
UY45293,Oregon,M,Bachelor,370393.03%,21975,95,1/0/00,456.0,Corporate Auto,Four-Door Car,,
TH84309,California,M,High School or Below,937284.36%,0,126,1/0/00,604.8,Personal Auto,SUV,,
PZ94551,Oregon,F,Bachelor,499158.45%,56649,125,1/0/00,780.090361,Special Auto,SUV,,
UE76013,Washington,F,Master,503986.93%,35984,128,1/3/00,275.577631,Personal Auto,SUV,,
HS85465,California,M,Bachelor,275997.83%,92296,69,1/0/00,331.2,Corporate Auto,Two-Door Car,,
SI78985,Oregon,F,Bachelor,799300.40%,39448,103,1/3/00,66.020788,Personal Auto,Four-Door Car,,
KF50730,California,F,Bachelor,523557.35%,71794,131,1/0/00,457.471225,Personal Auto,SUV,,
JO13576,California,F,High School or Below,263301.18%,21861,69,1/0/00,348.278032,Personal Auto,Four-Door Car,,
HJ79774,Oregon,F,College,276480.23%,31591,72,1/4/00,240.241499,Corporate Auto,Four-Door Car,,
KI18648,Arizona,F,Bachelor,808484.64%,60662,68,1/0/00,326.4,Special Auto,Two-Door Car,,
EL99335,California,F,College,268517.77%,20608,73,1/0/00,350.4,Personal Auto,Four-Door Car,,
LE84979,California,F,Master,1220812.00%,21331,103,1/0/00,419.062661,Personal Auto,SUV,,
CE12380,Arizona,F,College,2009043.87%,0,66,1/1/00,252.149798,Corporate Auto,Four-Door Car,,
BJ22117,Washington,M,Master,513341.48%,53390,6464,1/0/00,278.999409,Personal Auto,Four-Door Car,,
JF83834,Oregon,M,Doctor,249131.70%,36631,62,1/0/00,67.530904,Corporate Auto,Four-Door Car,,
YN10988,California,M,High School or Below,631459.68%,0,87,1/0/00,417.6,Personal Auto,Four-Door Car,,
YX15941,Oregon,M,College,1622964.89%,26030,139,1/1/00,667.2,Corporate Auto,Sports Car,,
ZB50601,Nevada,M,College,516178.99%,0,70,1/0/00,469.491537,Personal Auto,Four-Door Car,,
HP50399,Nevada,M,Bachelor,398226.61%,0,113,1/0/00,542.4,Personal Auto,SUV,,
GC17585,AZ,M,Bachelor,1347318.57%,25302,70,1/1/00,336.0,Personal Auto,Four-Door Car,,
QW17286,Washington,F,Master,277832.39%,66030,69,1/1/00,282.153792,Personal Auto,Four-Door Car,,
DO41287,Oregon,M,High School or Below,827644.42%,0,82,1/0/00,590.4,Personal Auto,Four-Door Car,,
GT54462,AZ,M,Bachelor,1434985.99%,73222,180,1/0/00,821.51673,Personal Auto,SUV,,
BT76268,California,F,College,587819.93%,22061,74,1/0/00,355.2,Personal Auto,Four-Door Car,,
QM38267,AZ,F,High School or Below,266605.45%,86321,66,1/0/00,316.8,Personal Auto,Four-Door Car,,
LP82042,Oregon,M,Bachelor,534568.10%,54668,68,1/1/00,326.4,Personal Auto,Four-Door Car,,
EF52978,AZ,F,High School or Below,477712.16%,0,62,1/0/00,297.6,Personal Auto,Four-Door Car,,
GH54524,California,M,High School or Below,1697374.02%,69497,142,1/0/00,92.286763,Personal Auto,SUV,,
DP26592,Oregon,M,High School or Below,251811.21%,86617,63,1/0/00,188.325603,Personal Auto,Four-Door Car,,
UP29839,Nevada,F,Master,1916098.99%,22705,239,1/0/00,1294.700423,Personal Auto,Luxury SUV,,
IB80924,Washington,F,High School or Below,3286440.46%,90783,104,1/2/00,285.745227,Personal Auto,SUV,,
OB55054,Oregon,M,Bachelor,396481.30%,88410,99,1/0/00,475.2,Corporate Auto,Four-Door Car,,
NP91656,California,F,Bachelor,491177.31%,0,69,1/0/00,496.8,Personal Auto,Four-Door Car,,
SH74080,Oregon,F,College,780531.29%,21073,106,1/1/00,508.8,Personal Auto,SUV,,
KN25556,AZ,F,College,720066.49%,0,66,1/0/00,316.8,Personal Auto,Four-Door Car,,
RB38792,Oregon,M,College,538949.95%,66429,136,1/0/00,57.712985,Personal Auto,Sports Car,,
QR72180,California,F,Doctor,324131.42%,66889,80,1/0/00,294.319428,Personal Auto,Four-Door Car,,
TW64385,California,M,Bachelor,552821.28%,36088,72,1/0/00,345.6,Corporate Auto,Four-Door Car,,
TM13955,Washington,M,Master,299302.46%,0,80,1/0/00,286.115778,Corporate Auto,Four-Door Car,,
GF94951,AZ,M,Bachelor,707665.32%,0,68,1/0/00,489.6,Corporate Auto,Two-Door Car,,
NF53775,California,F,College,370038.50%,17557,96,1/0/00,666.724937,Personal Auto,Four-Door Car,,
YB58778,California,F,College,532883.59%,81064,70,1/4/00,42.238585,Personal Auto,Two-Door Car,,
PH77560,Nevada,F,High School or Below,483887.71%,0,66,1/0/00,700.331425,Personal Auto,Four-Door Car,,
ZO14864,Washington,F,Master,341720.50%,42526,86,1/0/00,287.5426,Personal Auto,Two-Door Car,,
BI34376,California,F,Doctor,787992.90%,45703,98,1/0/00,470.4,Personal Auto,Two-Door Car,,
UQ63396,California,F,Bachelor,786943.24%,40036,65,1/0/00,48.828732,Personal Auto,Four-Door Car,,
BR23201,California,M,Bachelor,258680.72%,0,71,1/0/00,191.640085,Personal Auto,Four-Door Car,,
VH45094,AZ,M,High School or Below,728678.91%,65870,61,1/1/00,202.847644,Personal Auto,Four-Door Car,,
KD47243,California,F,Bachelor,1179799.21%,91469,100,1/2/00,418.864555,Personal Auto,SUV,,
MY13737,California,M,High School or Below,938675.30%,42090,119,1/0/00,203.352239,Corporate Auto,SUV,,
OR48881,Oregon,F,Doctor,630892.24%,21368,79,1/0/00,4.61262,Corporate Auto,Four-Door Car,,
BD77090,Washington,F,Bachelors,860915.82%,79090,107,1/0/00,289.040734,Personal Auto,SUV,,
LW77178,Oregon,F,Bachelor,1542801.04%,33879,98,1/0/00,470.4,Corporate Auto,Two-Door Car,,
BQ12347,AZ,M,High School or Below,563079.30%,72874,70,1/0/00,336.0,Special Auto,Four-Door Car,,
FF61670,California,M,High School or Below,1813118.87%,0,82,1/1/00,393.6,Personal Auto,Four-Door Car,,
PM61374,California,F,Bachelor,808721.95%,0,110,1/0/00,550.825934,Personal Auto,Two-Door Car,,
BW25236,AZ,M,College,1845357.63%,72215,66,1/0/00,247.911872,Personal Auto,Four-Door Car,,
XO22038,California,F,Bachelor,521751.33%,39854,66,1/0/00,261.930545,Corporate Auto,Two-Door Car,,
QG51953,Oregon,M,College,483578.32%,36655,61,1/0/00,295.223164,Personal Auto,Four-Door Car,,
SZ56338,Oregon,F,High School or Below,559712.50%,37995,139,1/0/00,667.2,Personal Auto,SUV,,
PX60116,California,F,High School or Below,892046.40%,40867,112,1/0/00,537.6,Corporate Auto,Two-Door Car,,
BW46202,Oregon,F,Bachelor,599541.10%,28804,78,1/0/00,76.025368,Personal Auto,Two-Door Car,,
GW14109,California,F,High School or Below,3849694.70%,48409,124,1/0/00,345.211703,Special Auto,SUV,,
GP42026,California,M,High School or Below,838263.01%,19683,117,1/1/00,561.6,Personal Auto,Sports Car,,
DH41343,Washington,,College,244366.52%,92834,61,1/0/00,292.8,Special Auto,Four-Door Car,,
PY42157,Washington,F,High School or Below,247225.39%,62006,61,1/0/00,292.8,Personal Auto,Four-Door Car,,
OL36978,California,F,High School or Below,540551.84%,67241,68,1/1/00,5.674809,Personal Auto,Two-Door Car,,
KT40899,California,M,High School or Below,935247.90%,75436,78,1/0/00,9.747443,Personal Auto,Four-Door Car,,
WE60408,AZ,F,College,433987.11%,91761,109,1/2/00,779.052276,Personal Auto,SUV,,
LG64797,California,F,College,1772376.40%,25771,222,1/0/00,1253.984948,Personal Auto,Luxury SUV,,
MD87746,Oregon,M,College,750745.54%,60920,64,1/0/00,231.201886,Personal Auto,Two-Door Car,,
QP80741,Washington,F,College,604857.42%,0,61,1/3/00,292.8,Corporate Auto,Four-Door Car,,
WO59883,Washington,F,High School or Below,1901447.63%,29822,61,1/0/00,292.8,Personal Auto,Two-Door Car,,
MU79385,AZ,M,College,1008037.03%,60944,130,1/2/00,623.505066,Personal Auto,SUV,,
JH30384,California,F,High School or Below,650339.70%,22081,84,1/0/00,451.670309,Personal Auto,Two-Door Car,,
LL45497,Washington,female,College,248772.97%,67282,62,1/0/00,297.6,Personal Auto,Two-Door Car,,
SK95364,California,F,College,462039.01%,0,130,1/0/00,936.0,Personal Auto,SUV,,
VG56765,Arizona,M,High School or Below,247152.84%,95697,61,1/0/00,114.273025,Personal Auto,Two-Door Car,,
NE24371,Oregon,F,College,649424.40%,15300,85,1/0/00,408.0,Personal Auto,Four-Door Car,,
KR48903,Washington,M,High School or Below,250490.76%,88264,62,1/0/00,297.6,Personal Auto,Two-Door Car,,
ZF27999,Nevada,F,College,490489.47%,12902,139,1/0/00,667.2,Personal Auto,Sports Car,,
MH40017,Arizona,M,High School or Below,480247.70%,29809,61,1/0/00,365.312072,Personal Auto,Four-Door Car,,
YJ99764,Nevada,M,High School or Below,795577.48%,0,74,1/0/00,355.2,Personal Auto,Four-Door Car,,
AG22225,Oregon,M,High School or Below,694190.08%,0,96,1/0/00,460.8,Personal Auto,Four-Door Car,,
ZJ26179,Oregon,M,Bachelor,838247.84%,25998,71,1/0/00,791.878042,Personal Auto,Four-Door Car,,
VO36036,Oregon,F,Doctor,353643.18%,28248,90,1/0/00,634.385937,Personal Auto,Four-Door Car,,
ZQ94281,California,F,College,324481.66%,68103,82,1/0/00,277.795988,Personal Auto,Two-Door Car,,
CK40732,California,F,High School or Below,761121.28%,0,103,1/0/00,741.6,Special Auto,Four-Door Car,,
UT73461,Oregon,F,Doctor,450539.83%,81079,111,1/0/00,134.222332,Special Auto,SUV,,
LT57320,Nevada,F,Master,244584.48%,22732,62,1/0/00,15.616535,Personal Auto,Four-Door Car,,
BZ44726,Nevada,F,High School or Below,1647776.84%,49825,70,1/3/00,336.0,Corporate Auto,Two-Door Car,,
VU32116,Oregon,F,College,354640.02%,0,103,1/0/00,621.959357,Personal Auto,SUV,,
EG94326,Nevada,M,High School or Below,427727.01%,77265,107,1/0/00,513.6,Personal Auto,SUV,,
EJ43595,California,M,High School or Below,478477.35%,0,72,1/0/00,779.629297,Corporate Auto,Four-Door Car,,
QI37869,California,M,College,757223.77%,12876,107,1/2/00,425.964628,Corporate Auto,Four-Door Car,,
SX65826,Arizona,M,Bachelor,1176087.64%,36431,99,1/0/00,513.252488,Personal Auto,Two-Door Car,,
XO42145,Oregon,M,High School or Below,393381.40%,25927,103,1/0/00,674.973614,Personal Auto,SUV,,
WJ74851,Nevada,F,Bachelor,570076.18%,26811,72,1/0/00,465.763576,Personal Auto,Two-Door Car,,
IG68709,Oregon,F,High School or Below,349863.48%,41711,90,1/0/00,351.286604,Personal Auto,Four-Door Car,,
AC75391,Arizona,F,College,576809.13%,35091,74,1/0/00,418.927204,Corporate Auto,Two-Door Car,,
WO94087,Arizona,F,Bachelor,636195.40%,0,87,1/0/00,417.6,Corporate Auto,Four-Door Car,,
YJ69332,Oregon,F,High School or Below,650339.70%,22081,84,1/0/00,451.670309,Personal Auto,Two-Door Car,,
WX87964,Washington,M,High School or Below,493519.00%,29560,62,1/0/00,297.6,Personal Auto,Four-Door Car,,
PD32641,Oregon,M,College,578522.35%,31320,72,1/0/00,293.86579,Personal Auto,Four-Door Car,,
CK39096,Oregon,M,High School or Below,561968.91%,0,153,1/0/00,1027.000029,Personal Auto,SUV,,
QV19964,Oregon,M,Doctor,259928.96%,33947,66,1/1/00,192.213037,Personal Auto,Four-Door Car,,
BF72793,California,F,High School or Below,673297.09%,0,62,1/0/00,446.4,Personal Auto,Two-Door Car,,
WB12017,California,F,College,1832186.65%,21189,66,1/0/00,316.8,Personal Auto,Two-Door Car,,
JO17193,Washington,M,Bachelors,230069.15%,25905,63,1/0/00,302.4,Personal Auto,Four-Door Car,,
AY84441,Oregon,M,High School or Below,400285.76%,0,114,1/0/00,820.8,Personal Auto,SUV,,
JQ65500,Oregon,F,Bachelor,862099.74%,44988,108,1/0/00,518.4,Corporate Auto,Two-Door Car,,
OI29521,Oregon,F,College,1038898.60%,33432,90,1/0/00,161.423101,Corporate Auto,Two-Door Car,,
MJ51323,Oregon,F,Bachelor,842717.25%,46503,215,1/1/00,1032.0,Personal Auto,Luxury SUV,,
QI64880,California,M,Bachelor,700727.42%,0,101,1/0/00,973.787176,Corporate Auto,SUV,,
HV93429,Oregon,F,Master,517657.91%,23636,65,1/0/00,81.452537,Personal Auto,Four-Door Car,,
TA89713,Oregon,M,College,538949.95%,66429,136,1/0/00,57.712985,Personal Auto,Sports Car,,
OB98149,Washington,F,College,470000.75%,11417,63,1/0/00,302.4,Personal Auto,Two-Door Car,,
LE65901,Oregon,F,Bachelor,443494.14%,58082,112,1/1/00,103.022126,Personal Auto,SUV,,
FF68864,Arizona,F,Bachelor,1401052.74%,36523,71,1/0/00,101.353875,Personal Auto,Four-Door Car,,
YX99200,Nevada,M,Bachelor,1235005.82%,54710,103,1/0/00,294.058449,Personal Auto,Two-Door Car,,
LZ26801,California,F,High School or Below,816157.69%,73466,102,1/1/00,204.74051,Personal Auto,SUV,,
TA66375,Oregon,F,Bachelor,1100913.05%,51643,283,1/0/00,1358.4,Corporate Auto,Luxury Car,,
SC92090,Arizona,M,College,871704.98%,83846,74,1/3/00,355.2,Personal Auto,Four-Door Car,,
TK40018,Oregon,M,High School or Below,591746.66%,0,169,1/0/00,1207.084251,Personal Auto,SUV,,
ZD63451,California,M,Bachelor,250366.04%,53338,63,1/1/00,35.45384,Personal Auto,Four-Door Car,,
AO98601,Washington,,Bachelor,501888.52%,54500,63,1/0/00,302.4,Corporate Auto,Two-Door Car,,
DT35588,Oregon,M,College,433038.60%,60475,107,1/0/00,513.6,Personal Auto,Four-Door Car,,
VF87723,California,M,College,1048774.33%,30658,89,1/0/00,441.757585,Personal Auto,Four-Door Car,,
QP69826,Arizona,M,Bachelor,356750.38%,0,102,1/0/00,660.430456,Corporate Auto,SUV,,
UW37050,Oregon,F,Bachelor,1989642.23%,60420,248,1/0/00,632.944366,Personal Auto,Luxury SUV,,
UH62254,Oregon,M,Bachelor,2142363.72%,0,65,1/0/00,312.0,Personal Auto,Two-Door Car,,
IA15979,Washington,M,College,694832.59%,40598,91,1/0/00,302.791402,Personal Auto,Four-Door Car,,
DB71122,California,F,Doctor,351583.19%,15144,90,1/0/00,372.652536,Personal Auto,Four-Door Car,,
TM14491,California,M,Bachelor,1203662.05%,44428,104,1/0/00,499.2,Personal Auto,SUV,,
OY94707,California,M,College,360979.83%,58297,97,1/5/00,647.039443,Special Auto,Four-Door Car,,
LN55080,Oregon,F,Bachelor,1773246.49%,42191,74,1/1/00,68.647736,Special Auto,Two-Door Car,,
TZ47750,Nevada,M,Master,850985.09%,26057,74,1/0/00,523.888845,Personal Auto,Four-Door Car,,
SJ74501,Arizona,F,Bachelor,586642.43%,26608,73,1/0/00,234.234301,Personal Auto,Two-Door Car,,
LE26899,California,M,Doctor,482550.09%,0,63,1/0/00,272.843439,Personal Auto,Four-Door Car,,
ML34366,California,M,College,538949.95%,66429,136,1/0/00,57.712985,Personal Auto,Sports Car,,
EI45850,California,F,Bachelor,777800.56%,25970,72,1/3/00,430.818992,Personal Auto,Four-Door Car,,
LD75023,Oregon,M,High School or Below,2634608.58%,48268,223,1/0/00,1605.6,Personal Auto,Luxury SUV,,
JW12998,California,F,High School or Below,1486645.12%,24279,126,1/0/00,604.8,Personal Auto,Sports Car,,
LP47259,Arizona,M,High School or Below,832423.27%,0,121,1/0/00,871.2,Corporate Auto,Sports Car,,
XD21246,Oregon,F,High School or Below,923830.60%,0,128,1/0/00,921.6,Personal Auto,SUV,,
DW59142,Nevada,F,High School or Below,2269329.08%,71879,64,1/0/00,9.163065,Corporate Auto,Two-Door Car,,
KX54900,Arizona,M,Doctor,623601.86%,57760,78,1/0/00,223.950089,Special Auto,Four-Door Car,,
XV83643,California,M,College,501218.48%,20976,129,1/1/00,735.683769,Personal Auto,Sports Car,,
XY33610,Washington,M,College,1569553.94%,97750,65,1/0/00,303.002922,Personal Auto,Four-Door Car,,
GK48045,Washington,F,College,821460.24%,73245,68,1/0/00,305.121363,Personal Auto,Four-Door Car,,
ET79528,California,M,College,311898.11%,23008,79,1/1/00,80.663097,Personal Auto,Four-Door Car,,
RA66180,Washington,F,High School or Below,276403.21%,33837,72,1/4/00,305.575785,Corporate Auto,Two-Door Car,,
BC66536,Arizona,F,High School or Below,688368.66%,84869,85,1/0/00,408.0,Corporate Auto,Four-Door Car,,
PN22481,Oregon,M,College,221591.29%,0,66,1/0/00,316.8,Corporate Auto,Two-Door Car,,
XR95069,Washington,,Bachelor,485474.57%,29834,6464,1/0/00,307.2,Personal Auto,Four-Door Car,,
